,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomSeed
0,DecisionTree,0.7315614617940199,0.7435800800022334,0.7176288024287083,0.7184310456608317,0.5689149560117303,0.8663426488456865,0.7791164658634538,0.7080436941410129,0.6576271186440679,0.7792349726775956,0.7184310456608317,0.7176288024287083,0.7435800800022334,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 20, 24]","[19, 18]",RW,RW,5
0,DecisionTree,0.6905405405405406,0.6945541841500421,0.67559945665013,0.6755622521868819,0.821078431372549,0.5301204819277109,0.6822810590631364,0.7068273092369478,0.7452725250278086,0.6058519793459552,0.6755622521868819,0.67559945665013,0.6945541841500421,"[2, 5, 6, 9, 10, 13, 15, 16, 17, 18, 19, 20]","[11, 24]",RW,RW,5,42
0,DecisionTree,0.6964504283965728,0.709720313815877,0.6726593764824659,0.6710565621144231,0.4763231197771588,0.868995633187773,0.7402597402597403,0.6791808873720137,0.5796610169491526,0.7624521072796935,0.6710565621144231,0.6726593764824659,0.709720313815877,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 20, 24]","[17, 19]",RW,RW,5,12
0,DecisionTree,0.6653318077803204,0.6877836334358074,0.6549029928424324,0.6455448736280021,0.45235223160434257,0.8574537540805223,0.741106719367589,0.6344605475040258,0.5617977528089888,0.7292919944470153,0.6455448736280021,0.6549029928424324,0.6877836334358074,"[2, 5, 6, 10, 13, 15, 16, 17, 18, 19, 20, 24]","[11, 9]",RW,RW,5,32
0,DecisionTree,0.7104838709677419,0.7292957853491224,0.7216995364042073,0.7095846334807505,0.8436944937833037,0.5997045790251108,0.6367292225201072,0.8218623481781376,0.7257448433919023,0.6934244235695987,0.7095846334807505,0.7216995364042073,0.7292957853491224,"[2, 5, 9, 10, 11, 13, 15, 16, 17, 19, 20, 24]","[6, 18]",RW,RW,5,52
0,DecisionTree,0.8325070821529745,0.7461725409848674,0.8216810260269436,0.7699060866833056,0.839332748024583,0.8040293040293041,0.9470034670629024,0.5453416149068323,0.8899232022341167,0.6498889711324944,0.7699060866833056,0.8216810260269436,0.7461725409848674,"[3, 7, 8, 9, 10, 12, 14, 15, 20, 21, 24]","[17, 23]",RP,RP,6,100
0,DecisionTree,0.9068421052631579,0.8858520812360484,0.88455026656979,0.8851973543844676,0.9360764144011756,0.8330241187384044,0.9340175953079178,0.8376865671641791,0.9350458715596329,0.8353488372093023,0.8851973543844676,0.88455026656979,0.8858520812360484,"[3, 7, 8, 9, 12, 14, 15, 17, 20, 23, 24]","[21, 10]",RP,RP,6,42
0,DecisionTree,0.8533073929961089,0.8502830947684488,0.7965024016021995,0.8156945272180087,0.9463882618510158,0.6466165413533834,0.8560490045941807,0.8445171849427169,0.8989547038327526,0.7324343506032648,0.8156945272180087,0.7965024016021995,0.8502830947684488,"[3, 7, 8, 9, 10, 12, 17, 20, 21, 23, 24]","[15, 14]",RP,RP,6,32
0,DecisionTree,0.6884725309622102,0.6607490252317223,0.6527879269814754,0.6556654316703816,0.7842157842157842,0.5213600697471665,0.7409155261915998,0.5805825242718446,0.7619509827711721,0.5493798805695912,0.6556654316703816,0.6527879269814754,0.6607490252317223,"[3, 7, 10, 12, 14, 15, 17, 20, 21, 23, 24]","[8, 9]",RP,RP,6,12
0,DecisionTree,0.8677639046538025,0.8254890411936888,0.6624715742677242,0.7015120483285457,0.9786648313833448,0.34627831715210355,0.875615763546798,0.7753623188405797,0.9242768930776731,0.47874720357941836,0.7015120483285457,0.6624715742677242,0.8254890411936888,"[7, 8, 9, 10, 12, 14, 15, 17, 21, 23, 24]","[20, 3]",RP,RP,6,52
0,DecisionTree,0.8301204819277108,0.752704083183139,0.729606997287659,0.739805548947372,0.9082498072474943,0.5509641873278237,0.8784489187173751,0.6269592476489029,0.8931008339651251,0.5865102639296189,0.739805548947372,0.729606997287659,0.752704083183139,"[3, 5, 6, 7, 8, 10, 20, 24, 25]","[12, 23]",LW,LW,3,100
0,DecisionTree,0.7874564459930313,0.7579324140297684,0.6932320183538485,0.710931766812458,0.9211175020542317,0.46534653465346537,0.8058950395398994,0.7099697885196374,0.8596625766871167,0.5622009569377991,0.710931766812458,0.6932320183538485,0.7579324140297684,"[3, 5, 6, 8, 10, 12, 20, 23, 25]","[7, 24]",LW,LW,3,42
0,DecisionTree,0.8010321100917431,0.7369030597655133,0.5943036833967311,0.6072660912927482,0.9675276752767528,0.2210796915167095,0.8122676579925651,0.6615384615384615,0.8831256315257662,0.33140655105973027,0.6072660912927482,0.5943036833967311,0.7369030597655133,"[5, 6, 7, 8, 10, 12, 20, 23, 25]","[24, 3]",LW,LW,3,12
0,DecisionTree,0.8250790305584826,0.7688548889558838,0.6413317661353161,0.6677843573910989,0.9624664879356568,0.32019704433497537,0.8387850467289719,0.6989247311827957,0.8963795255930086,0.43918918918918926,0.6677843573910989,0.6413317661353161,0.7688548889558838,"[3, 5, 6, 7, 8, 10, 23, 24, 25]","[20, 12]",LW,LW,3,32
